irrad,tmin,tmax,vap,wind,rain,snowdepth
28000.0,26.9,26.9,1.1,2.8,2.4,-999
Irrad_value,Temp_value,TWSO_harvest_value
11847.37,15.72,7468.065779756289
11847.37,17.58,6734.444968347417
11847.37,19.45,6055.540451289975
11847.37,21.31,5543.425868579898
11847.37,23.17,4959.387190281021
11847.37,25.04,4443.990156229884
11847.37,26.9,3964.4858134842184
13315.79,-8.5,0.0
13315.79,-6.64,0.0
13315.79,-4.77,0.0
13315.79,-2.91,0.0
13315.79,-1.05,0.0
13315.79,0.82,0.0
13315.79,2.68,79.54789332879245
13315.79,4.54,1548.773597205809
13315.79,6.41,5584.887219867599
13315.79,8.27,9652.699705409186
13315.79,10.13,10493.096395576835
13315.79,11.99,9772.628019946827
13315.79,13.86,8950.448985820321
13315.79,15.72,8095.072598106831
13315.79,17.58,7335.0353096534045
13315.79,19.45,6636.125201040109
13315.79,21.31,6117.094410371216
13315.79,23.17,5515.291977750849
13315.79,25.04,4980.115451298269
13315.79,26.9,4470.558971032339
14784.21,-8.5,0.0
14784.21,-6.64,0.0
14784.21,-4.77,0.0
14784.21,-2.91,0.0
14784.21,-1.05,0.0
14784.21,0.82,0.0
14784.21,2.68,79.94041203032774
14784.21,4.54,1563.8823683534042
14784.21,6.41,5652.045637163807
14784.21,8.27,9860.92198603154
14784.21,10.13,10928.225357609375
14784.21,11.99,10300.587586559925
14784.21,13.86,9496.97427556042
14784.21,15.72,8632.673009148739
14784.21,17.58,7850.522704916109
14784.21,19.45,7128.401725861965
14784.21,21.31,6592.355840718508
14784.21,23.17,5972.0092771620075
14784.21,25.04,5419.732218119208
14784.21,26.9,4884.910705215332
16252.63,-8.5,0.0
16252.63,-6.64,0.0
16252.63,-4.77,0.0
16252.63,-2.91,0.0
16252.63,-1.05,0.0
16252.63,0.82,0.0
16252.63,2.68,81.32744575793524
16252.63,4.54,1584.9426736712903
16252.63,6.41,5714.3890844684865
16252.63,8.27,10019.613638404098
16252.63,10.13,11242.493756128868
16252.63,11.99,10721.488875921355
16252.63,13.86,9940.32399112555
16252.63,15.72,9073.565988365603
16252.63,17.58,8276.954134607973
16252.63,19.45,7537.46278530307
16252.63,21.31,6986.10957596678
16252.63,23.17,6350.090929462461
16252.63,25.04,5782.051044958094
16252.63,26.9,5225.386261932517
17721.05,-8.5,0.0
17721.05,-6.64,0.0
17721.05,-4.77,0.0
17721.05,-2.91,0.0
17721.05,-1.05,0.0
17721.05,0.82,0.0
17721.05,2.68,83.39891681694439
17721.05,4.54,1610.1717805290884
17721.05,6.41,5777.5611393093495
17721.05,8.27,10147.123551020826
17721.05,10.13,11452.865185930397
17721.05,11.99,11055.157450351708
17721.05,13.86,10302.97490257143
17721.05,15.72,9439.716034107123
17721.05,17.58,8633.445524831817
17721.05,19.45,7879.726079846951
17721.05,21.31,7313.848914279197
17721.05,23.17,6664.350493240499
17721.05,25.04,6082.469632197973
17721.05,26.9,5505.011880985971
19189.47,-8.5,0.0
19189.47,-6.64,0.0
19189.47,-4.77,0.0
19189.47,-2.91,0.0
19189.47,-1.05,0.0
19189.47,0.82,0.0
19189.47,2.68,85.92740194513503
19189.47,4.54,1638.4242906880718
19189.47,6.41,5848.002521154976
19189.47,8.27,10261.197403510829
19189.47,10.13,11584.318701655864
19189.47,11.99,11305.68694058528
19189.47,13.86,10589.724622275055
19189.47,15.72,9735.490028015834
19189.47,17.58,8923.676499273713
19189.47,19.45,8158.785505723362
19189.47,21.31,7580.472546146908
19189.47,23.17,6920.172776035814
19189.47,25.04,6326.310890073903
19189.47,26.9,5730.946793652022
20657.89,-8.5,0.0
20657.89,-6.64,0.0
20657.89,-4.77,0.0
20657.89,-2.91,0.0
20657.89,-1.05,0.0
20657.89,0.82,0.0
20657.89,2.68,88.67823725369534
20657.89,4.54,1668.7750577291563
20657.89,6.41,5929.236019764039
20657.89,8.27,10371.755384699727
20657.89,10.13,11663.74576707728
20657.89,11.99,11477.528670592415
20657.89,13.86,10805.79066358602
20657.89,15.72,9964.628532012759
20657.89,17.58,9151.047064338982
20657.89,19.45,8378.097749824909
20657.89,21.31,7789.153975279333
20657.89,23.17,7120.589631012691
20657.89,25.04,6517.318539229716
20657.89,26.9,5907.009210426371
22126.32,-8.5,0.0
22126.32,-6.64,0.0
22126.32,-4.77,0.0
22126.32,-2.91,0.0
22126.32,-1.05,0.0
22126.32,0.82,0.0
